,R2OOS,R2OOS_Reduction,R2OOS_Normalized
roe,0.12490283192075269,0.0001962550455691936,0.0005993461658243694
roa,0.12443045775487349,0.0002761191203100033,0.0008432442365424493
rvar_ff3,0.12417859377905438,0.0005279830961291143,0.0016124153311181766
dy,0.12524115900328747,0.0005345821281039775,0.0016325682117782167
me,0.12539986865360775,0.0006932917784242543,0.002117253943668086
pm,0.12553627189346772,0.0008296950182842266,0.002533817801065947
rvar_capm,0.12378108195453597,0.0009254949206475294,0.0028263825297905943
beta,0.12360589353764706,0.0011006833375364344,0.003361393008908122
tms,0.12358461535114507,0.0011219615240384284,0.003426374775153564
bm_ia,0.12302997767436408,0.0016765992008194175,0.005120190921568105
me_ia,0.12107079147527011,0.0036357853999133827,0.011103378427180486
herf,0.12054432798922055,0.004162248885962949,0.012711152998760055
b/m,0.12909646902724736,0.004389892152063868,0.01340635611222711
tbl,0.11982194271314284,0.0048846341620406575,0.014917256002173055
dfy,0.11472123067236129,0.00998534620282221,0.030494395411507526
d/p,0.04943124303561297,0.07527533383957052,0.22988444749049508
e/p,0.016951673511376275,0.10775490336380722,0.32907428184873583
svar,0.0159750294277905,0.108731547447393,0.3320568695583894
adm,0.12855119282758676,0.0,0.0
acc,0.12855119282758676,0.0,0.0
agr,0.12855119282758676,0.0,0.0
alm,0.12855119282758676,0.0,0.0
shrcd,0.12855119282758676,0.0,0.0
cash,0.12855119282758676,0.0,0.0
cashdebt,0.12855119282758676,0.0,0.0
cfp,0.12855119282758676,0.0,0.0
chcsho,0.12855119282758676,0.0,0.0
chpm,0.12855119282758676,0.0,0.0
chtx,0.12855119282758676,0.0,0.0
depr,0.12855119282758676,0.0,0.0
gma,0.12855119282758676,0.0,0.0
grltnoa,0.12855119282758676,0.0,0.0
lev,0.12855119282758676,0.0,0.0
lgr,0.12855119282758676,0.0,0.0
ni,0.12855119282758676,0.0,0.0
noa,0.12855119282758676,0.0,0.0
op,0.12855119282758676,0.0,0.0
pctacc,0.12855119282758676,0.0,0.0
rd_sale,0.12855119282758676,0.0,0.0
rdm,0.12855119282758676,0.0,0.0
roa,0.12855119282758676,0.0,0.0
rsup,0.12855119282758676,0.0,0.0
sgr,0.12855119282758676,0.0,0.0
sp,0.12855119282758676,0.0,0.0
pscore,0.12855119282758676,0.0,0.0
nincr,0.12855119282758676,0.0,0.0
ato,0.12855119282758676,0.0,0.0
sue,0.12855119282758676,0.0,0.0
hire,0.12855119282758676,0.0,0.0
baspread,0.12855119282758676,0.0,0.0
ill,0.12855119282758676,0.0,0.0
cinvest,0.12855119282758676,0.0,0.0
mom36m,0.12855119282758676,0.0,0.0
mom60m,0.12855119282758676,0.0,0.0
re,0.12855119282758676,0.0,0.0
rvar_ff3,0.12855119282758676,0.0,0.0
maxret,0.12855119282758676,0.0,0.0
exchcd,0.12855119282758676,0.0,0.0
abr,0.12855119282758676,0.0,0.0
zerotrade,0.12855119282758676,0.0,0.0
dolvol,0.12855119282758676,0.0,0.0
turn,0.12855119282758676,0.0,0.0
mom6m,0.12854391673983168,7.276087755081484e-06,1.914219029498779e-05
