,R2OOS,R2OOS_Reduction,R2OOS_Normalized
op,0.08210994561026763,0.00014288491065506115,0.0018403880342300427
tbl,0.08212722495561053,0.00016016425599796325,0.0020629496767618828
rvar_ff3,0.08213425297033927,0.0001671922707267015,0.0021534720010007737
mom36m,0.081780113879514,0.00018694682009856578,0.0024079147977867327
me,0.08176738897451152,0.00019967172510104714,0.0025718142802157486
pm,0.0821699731992025,0.00020291249958992452,0.0026135561447949013
ill,0.08175915132837497,0.00020790937123760234,0.002677916914219814
d/p,0.08217579735460423,0.00020873665499165917,0.0026885725048969474
mom12m,0.08223223515918598,0.000265174459573414,0.0034155034296131466
herf,0.08158816432332017,0.0003788963762924036,0.004880265900330487
rvar_mean,0.08158728718305364,0.00037977351655893443,0.004891563653490453
dolvol,0.08241210907398877,0.00044504837437620015,0.005732317703111354
turn,0.08140589221784356,0.0005611684817690143,0.0072279693796914735
dfy,0.08122849602987259,0.0007385646697399828,0.0095128700046983
b/m,0.08281436643176587,0.0008473057321533028,0.01091347801276194
me_ia,0.08106687402464419,0.000900186674968384,0.011594595801543869
e/p,0.08329147897466627,0.001324418275053696,0.017058789025026264
bm_ia,0.08010951138687494,0.0018575493127376275,0.023925630162638017
svar,0.014441107720394086,0.06752595297921848,0.869748634010377
exchcd,0.08575968752692797,0.0,0.0
shrcd,0.08575968752692797,0.0,0.0
rsup,0.08575968752692797,0.0,0.0
rd_sale,0.08575968752692797,0.0,0.0
pctacc,0.08575968752692797,0.0,0.0
cinvest,0.08575968752692797,0.0,0.0
lgr,0.08575968752692797,0.0,0.0
nincr,0.08575968752692797,0.0,0.0
grltnoa,0.08575968752692797,0.0,0.0
sue,0.08575968752692797,0.0,0.0
chtx,0.08575968752692797,0.0,0.0
chcsho,0.08575968752692797,0.0,0.0
cash,0.08575968752692797,0.0,0.0
pscore,0.08575976544036923,7.791344125429589e-08,8.931523570666065e-07
ntis,0.08575951409781446,1.7342911351470036e-07,1.9880859967930898e-06
acc,0.0857576810315972,2.0064953307752376e-06,2.3001243498871035e-05
abr,0.08575736925087596,2.318276052015733e-06,2.657530827615388e-05
gma,0.08575702308834354,2.664438584432105e-06,3.054350524934022e-05
re,0.08576240908786825,2.7215609402775343e-06,3.119832123414604e-05
beta,0.08576297797752974,3.2904506017672475e-06,3.771972670527643e-05
ni,0.08576639244294437,6.704916016397888e-06,7.686108388453743e-05
ffi49,0.08576792163767655,8.234110748572832e-06,9.439084328764404e-05
sgr,0.08575141492943128,8.272597496694623e-06,9.483203198689061e-05
rvar_ff3,0.08576825172396452,8.564197036542431e-06,9.81747519610292e-05
mom60m,0.08574981660252001,9.870924407962e-06,0.00011315428069237617
rvar_capm,0.08576979497323789,1.0107446309914891e-05,0.0001158656240860997
alm,0.08574910627089616,1.0581256031816366e-05,0.0001212970908921438
baspread,0.08574878388383511,1.0903643092863291e-05,0.0001249927403054722
sp,0.0857774960662826,1.7808539354624564e-05,0.00020414627623214322
seas1a,0.08573800279982702,2.1684727100956813e-05,0.0002485805377194506
lev,0.08573782829528798,2.1859231639997923e-05,0.00025058095174114285
rna,0.08573617735867867,2.351016824930774e-05,0.0002695062860638816
ill,0.0857354321378847,2.4255389043270625e-05,0.0002780490445141291
hire,0.08573361652113409,2.6071005793881774e-05,0.00029886217193132616
d/p,0.0857330339484812,2.665357844677807e-05,0.0003055404309033387
roa,0.08573258302872855,2.7104498199426175e-05,0.0003107095010078291
cashdebt,0.0857290507651256,3.063676180237174e-05,0.00035120122505393473
roe,0.08579123512848907,3.154760156109937e-05,0.00036164253870047715
chpm,0.0857223129311897,3.7374595738270955e-05,0.00042843965996955266
cfp,0.08579773620907016,3.804868214218882e-05,0.0004361669769874311
adm,0.08571869310691416,4.099442001381792e-05,0.0004699351263720643
ep,0.08580569891977619,4.6011392848210875e-05,0.0005274466550664811
noa,0.08580789398464506,4.820645771708154e-05,0.0005526095451915253
ato,0.08570805289954508,5.1634627382890486e-05,0.0005919079995807759
agr,0.08570466729067916,5.5020236248815024e-05,0.000630718562816415
maxret,0.08581726407981904,5.757655289106989e-05,0.0006600226238061821
depr,0.08581890526856806,5.921774164008298e-05,0.0006788362145804366
rdm,0.08569527870232585,6.44088246021246e-05,0.000738343636003953
mom6m,0.08567055048456607,8.913704236190867e-05,0.001021812901674332
dy,0.08585002763257699,9.034010564901163e-05,0.001035604088320411
rvar_mean,0.0856666916897868,9.299583714117432e-05,0.0010660477807536513
zerotrade,0.0856468354072113,0.00011285211971667763,0.0012936681412381594
std_dolvol,0.08589877365334053,0.00013908612641255758,0.001594398856484733
std_turn,0.08561878767667341,0.0001408998502545611,0.0016151902847476199
mom1m,0.08561660766910295,0.00014307985782502364,0.0016401805671512266
